Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time,Comment
2024-04-25,Seated Machine Fly,Chest,50.0,kgs,8,,,,""
2024-04-25,Flat Dumbbell Bench Press,Chest,16.0,kgs,12,,,,""
2024-04-25,Seated Dumbbell Press,Shoulders,16.0,kgs,1,,,,""
2024-04-25,Seated Dumbbell Press,Shoulders,10.0,kgs,12,,,,""
2024-04-25,Rope Push Down,Triceps,20.0,kgs,10,,,,""
2024-05-01,Barbell Row,Back,20.0,kgs,15,,,,""
2024-05-01,Barbell Row,Back,45.0,kgs,8,,,,""
2024-05-01,Cable Curl,Biceps,3.75,kgs,12,,,,""
2024-05-01,Barbell Row,Back,47.5,kgs,8,,,,""
2024-05-01,Barbell Row,Back,47.5,kgs,10,,,,""
2024-05-01,Cable Curl,Biceps,8.75,kgs,6,,,,""
2024-05-01,Cable Curl,Biceps,11.25,kgs,4,,,,""
2024-05-01,Cable Curl,Biceps,8.75,kgs,6,,,,""
2024-05-01,Lat Pulldown,Back,27.5,kgs,14,,,,"warm up"
2024-05-01,Lat Pulldown,Back,42.5,kgs,12,,,,""
2024-05-01,Lat Pulldown,Back,50.0,kgs,8,,,,""
2024-05-01,Lat Pulldown,Back,50.0,kgs,8,,,,""
2024-05-03,Seated Dumbbell Press,Shoulders,6.0,kgs,12,,,,""
2024-05-03,Seated Dumbbell Press,Shoulders,12.0,kgs,8,,,,""
2024-05-03,Seated Dumbbell Press,Shoulders,12.0,kgs,9,,,,""
2024-05-03,Seated Dumbbell Press,Shoulders,12.0,kgs,10,,,,""
2024-05-03,Leg Press,Legs,65.0,kgs,12,,,,""
2024-05-03,Leg Press,Legs,80.0,kgs,10,,,,""
2024-05-03,Leg Press,Legs,80.0,kgs,12,,,,""
2024-05-03,Lying Leg Curl Machine,Legs,12.0,kgs,12,,,,""
2024-05-03,Lying Leg Curl Machine,Legs,27.5,kgs,12,,,,""
2024-05-03,Lying Leg Curl Machine,Legs,27.5,kgs,12,,,,""
2024-05-03,Rear Delt Machine Fly,Shoulders,27.5,kgs,12,,,,""
2024-05-03,Rear Delt Machine Fly,Shoulders,32.5,kgs,11,,,,""
2024-05-03,Rear Delt Machine Fly,Shoulders,32.5,kgs,10,,,,""
2024-05-07,Flat Barbell Bench Press,Chest,20.0,kgs,15,,,,""
2024-05-07,Flat Barbell Bench Press,Chest,45.0,kgs,10,,,,""
2024-05-07,Flat Barbell Bench Press,Chest,50.0,kgs,5,,,,""
2024-05-07,Flat Barbell Bench Press,Chest,50.0,kgs,5,,,,""
2024-05-07,V-Bar Push Down,Triceps,10.0,kgs,12,,,,""
2024-05-07,V-Bar Push Down,Triceps,20.0,kgs,12,,,,""
2024-05-07,V-Bar Push Down,Triceps,25.0,kgs,8,,,,""
2024-05-07,V-Bar Push Down,Triceps,25.0,kgs,6,,,,""
2024-05-07,Incline Barbell Bench Press,Chest,20.0,kgs,5,,,,""
2024-05-07,Incline Barbell Bench Press,Chest,40.0,kgs,7,,,,""
2024-05-07,Incline Barbell Bench Press,Chest,45.0,kgs,5,,,,""
2024-05-07,Incline Barbell Bench Press,Chest,45.0,kgs,4,,,,""
2024-05-07,Wrist curl,Forearm,6.0,kgs,12,,,,""
2024-05-07,Wrist curl,Forearm,8.0,kgs,10,,,,""
2024-05-07,Wrist curl,Forearm,8.0,kgs,8,,,,""
2024-05-07,Seated Machine Fly,Chest,50.0,kgs,5,,,,""
2024-05-07,Seated Machine Fly,Chest,50.0,kgs,6,,,,""
2024-05-07,Seated Machine Fly,Chest,50.0,kgs,5,,,,""
2024-05-09,Barbell Row,Back,20.0,kgs,15,,,,""
2024-05-09,Barbell Row,Back,45.0,kgs,10,,,,""
2024-05-09,Barbell Row,Back,50.0,kgs,5,,,,""
2024-05-09,Barbell Row,Back,50.0,kgs,7,,,,""
2024-05-09,Dumbbell Hammer Curl,Biceps,4.0,kgs,15,,,,""
2024-05-09,Dumbbell Hammer Curl,Biceps,8.0,kgs,10,,,,""
2024-05-09,Dumbbell Hammer Curl,Biceps,10.0,kgs,6,,,,""
2024-05-09,Dumbbell Hammer Curl,Biceps,10.0,kgs,4,,,,""
2024-05-09,Lat Pulldown,Back,27.5,kgs,15,,,,""
2024-05-09,Lat Pulldown,Back,50.0,kgs,10,,,,""
2024-05-09,Lat Pulldown,Back,60.0,kgs,6,,,,""
2024-05-09,Lat Pulldown,Back,50.0,kgs,12,,,,""
2024-05-09,EZ-Bar Preacher Curl,Biceps,20.0,kgs,6,,,,""
2024-06-19,Flat Barbell Bench Press,Chest,27.5,kgs,12,,,,""
2024-06-19,Flat Barbell Bench Press,Chest,40.0,kgs,12,,,,""
2024-06-19,Flat Barbell Bench Press,Chest,50.0,kgs,9,,,,""
2024-06-19,Flat Barbell Bench Press,Chest,60.0,kgs,1,,,,""
2024-06-19,Flat Barbell Bench Press,Chest,55.0,kgs,4,,,,""
2024-06-19,Smith Machine Incline,Chest,38.0,kgs,10,,,,""
2024-06-19,Smith Machine Incline,Chest,48.0,kgs,2,,,,""
2024-06-19,Smith Machine Incline,Chest,43.0,kgs,4,,,,""
2024-06-19,Parallel Bar Triceps Dip,Triceps,33.0,kgs,12,,,,""
2024-06-19,Parallel Bar Triceps Dip,Triceps,33.0,kgs,9,,,,""
2024-06-19,Cable Overhead Triceps Extension,Triceps,12.5,kgs,4,,,,""
2024-06-19,Cable Overhead Triceps Extension,Triceps,5.0,kgs,5,,,,""
2024-06-19,Technogym Seated Machine Fly,Chest,15.0,kgs,4,,,,""
2024-06-19,Technogym Seated Machine Fly,Chest,15.0,kgs,4,,,,""
2024-06-19,Technogym Seated Machine Fly,Chest,15.0,kgs,4,,,,""
2024-06-19,V-Bar Push Down,Triceps,15.0,kgs,12,,,,""
2024-06-19,V-Bar Push Down,Triceps,17.5,kgs,9,,,,""
2024-06-19,V-Bar Push Down,Triceps,20.0,kgs,8,,,,""
2024-06-20,T-Bar Row,Back,40.0,kgs,10,,,,""
2024-06-20,T-Bar Row,Back,50.0,kgs,7,,,,""
2024-06-20,T-Bar Row,Back,55.0,kgs,7,,,,""
2024-06-20,T-Bar Row,Back,56.25,kgs,7,,,,""
2024-06-20,Lat Pulldown,Back,50.0,kgs,10,,,,""
2024-06-20,Lat Pulldown,Back,50.0,kgs,8,,,,""
2024-06-20,Lat Pulldown,Back,52.0,kgs,6,,,,""
2024-06-20,Seated Cable Row,Back,35.0,kgs,12,,,,""
2024-06-20,Seated Cable Row,Back,45.0,kgs,8,,,,""
2024-06-20,Chin Up,Back,30.0,kgs,8,,,,""
2024-06-20,Chin Up,Back,37.0,kgs,8,,,,""
2024-06-21,Romanian Deadlift,Legs,30.0,kgs,12,,,,""
